types,counts,probs,total_unique
the,5025,0.06641115443071434,9183
of,2969,0.03923874975219718,9183
and,2086,0.027568889182581113,9183
to,1859,0.024568823101830436,9183
in,1666,0.02201810612568559,9183
a,1594,0.02106654331593207,9183
is,998,0.013189717835194608,9183
that,971,0.012832881781537039,9183
it,697,0.00921165664441948,9183
as,596,0.00787682548073746,9183
was,594,0.00785039318046653,9183
for,525,0.006938478821119408,9183
by,512,0.006766668869358356,9183
with,424,0.005603647657437388,9183
this,416,0.005497918456353664,9183
are,415,0.0054847023062181985,9183
on,406,0.005365756954999009,9183
we,391,0.0051675147029670255,9183
but,375,0.0049560563007995774,9183
not,367,0.0048503270997158525,9183
they,359,0.0047445978986321285,9183
from,342,0.004519923346329214,9183
were,339,0.004480274895922818,9183
their,316,0.0041763034428071106,9183
or,312,0.004123438842265248,9183
be,309,0.004083790391858851,9183
more,303,0.0040044934910460584,9183
one,291,0.003845899689420472,9183
societies,271,0.003581576686711161,9183
have,268,0.0035419282363047646,9183
an,243,0.003211524482918126,9183
at,241,0.0031850921826471947,9183
war,237,0.0031322275821053327,9183
all,235,0.0031057952818344015,9183
i,231,0.0030529306812925395,9183
people,230,0.003039714531157074,9183
you,227,0.0030000660807506774,9183
other,223,0.002947201480208815,9183
which,210,0.0027753915284477633,9183
can,208,0.002748959228176832,9183
such,207,0.0027357430780413665,9183
who,205,0.0027093107777704357,9183
human,203,0.0026828784774995044,9183
how,201,0.002656446177228573,9183
his,201,0.002656446177228573,9183
there,200,0.0026432300270931076,9183
when,191,0.002524284675873918,9183
most,190,0.0025110685257384523,9183
social,182,0.0024053393246547283,9183
he,176,0.002326042423841935,9183
had,173,0.002286393973435538,9183
what,172,0.0022731778233000726,9183
than,167,0.002207097072622745,9183
so,160,0.002114584021674486,9183
cooperation,158,0.0020881517214035553,9183
do,155,0.0020485032709971584,9183
evolution,154,0.002035287120861693,9183
between,151,0.0019956386704552964,9183
them,150,0.001982422520319831,9183
into,148,0.0019559902200488996,9183
only,148,0.0019559902200488996,9183
even,148,0.0019559902200488996,9183
cultural,148,0.0019559902200488996,9183
states,144,0.0019031256195070376,9183
about,142,0.0018766933192361065,9183
also,141,0.001863477169100641,9183
many,138,0.0018238287186942443,9183
our,138,0.0018238287186942443,9183
very,137,0.001810612568558779,9183
years,135,0.0017841802682878477,9183
has,135,0.0017841802682878477,9183
first,134,0.0017709641181523823,9183
much,133,0.0017577479680169167,9183
groups,128,0.001691667217339589,9183
during,128,0.001691667217339589,9183
these,126,0.0016652349170686578,9183
will,125,0.0016520187669331924,9183
up,123,0.0016255864666622612,9183
because,123,0.0016255864666622612,9183
could,120,0.0015859380162558648,9183
would,119,0.0015727218661203992,9183
no,119,0.0015727218661203992,9183
its,119,0.0015727218661203992,9183
if,117,0.0015462895658494681,9183
group,117,0.0015462895658494681,9183
new,113,0.001493424965307606,9183
way,109,0.0014405603647657437,9183
been,108,0.0014273442146302783,9183
some,104,0.001374479614088416,9183
over,102,0.001348047313817485,9183
two,100,0.0013216150135465538,9183
out,98,0.0012951827132756228,9183
then,97,0.0012819665631401572,9183
did,96,0.0012687504130046918,9183
important,94,0.0012423181127337608,9183
large,91,0.0012026696623273641,9183
example,90,0.0011894535121918985,9183
warfare,90,0.0011894535121918985,9183
military,89,0.001176237362056433,9183
just,87,0.001149805061785502,9183
better,87,0.001149805061785502,9183
us,86,0.0011365889116500363,9183
like,85,0.0011233727615145709,9183
after,84,0.0011101566113791053,9183
different,84,0.0011101566113791053,9183
against,84,0.0011101566113791053,9183
why,82,0.0010837243111081743,9183
each,81,0.0010705081609727087,9183
power,80,0.001057292010837243,9183
world,80,0.001057292010837243,9183
any,77,0.0010176435604308464,9183
need,77,0.0010176435604308464,9183
selection,77,0.0010176435604308464,9183
time,75,0.0009912112601599154,9183
history,74,0.0009779951100244498,9183
same,74,0.0009779951100244498,9183
society,74,0.0009779951100244498,9183
where,73,0.0009647789598889844,9183
men,73,0.0009647789598889844,9183
violence,72,0.0009515628097535188,9183
another,72,0.0009515628097535188,9183
great,71,0.0009383466596180533,9183
competition,71,0.0009383466596180533,9183
however,68,0.0008986982092116566,9183
among,68,0.0008986982092116566,9183
those,67,0.0008854820590761911,9183
should,67,0.0008854820590761911,9183
force,67,0.0008854820590761911,9183
before,67,0.0008854820590761911,9183
both,67,0.0008854820590761911,9183
own,65,0.00085904975880526,9183
within,65,0.00085904975880526,9183
made,65,0.00085904975880526,9183
make,64,0.0008458336086697945,9183
life,64,0.0008458336086697945,9183
see,63,0.0008326174585343289,9183
well,63,0.0008326174585343289,9183
let,63,0.0008326174585343289,9183
may,63,0.0008326174585343289,9183
good,62,0.0008194013083988634,9183
weapons,62,0.0008194013083988634,9183
together,61,0.0008061851582633979,9183
while,61,0.0008061851582633979,9183
your,61,0.0008061851582633979,9183
him,61,0.0008061851582633979,9183
chapter,60,0.0007929690081279324,9183
state,60,0.0007929690081279324,9183
evolutionary,59,0.0007797528579924668,9183
point,59,0.0007797528579924668,9183
theory,59,0.0007797528579924668,9183
empire,58,0.0007665367078570013,9183
here,57,0.0007533205577215358,9183
now,57,0.0007533205577215358,9183
work,57,0.0007533205577215358,9183
king,57,0.0007533205577215358,9183
team,57,0.0007533205577215358,9183
age,57,0.0007533205577215358,9183
does,56,0.0007401044075860701,9183
book,56,0.0007401044075860701,9183
themselves,56,0.0007401044075860701,9183
three,55,0.0007268882574506046,9183
huge,54,0.0007136721073151391,9183
archaic,54,0.0007136721073151391,9183
my,53,0.0007004559571796735,9183
bce,53,0.0007004559571796735,9183
century,51,0.0006740236569087425,9183
scale,51,0.0006740236569087425,9183
several,51,0.0006740236569087425,9183
complex,51,0.0006740236569087425,9183
others,51,0.0006740236569087425,9183
quite,50,0.0006608075067732769,9183
take,50,0.0006608075067732769,9183
common,50,0.0006608075067732769,9183
being,50,0.0006608075067732769,9183
use,50,0.0006608075067732769,9183
modern,50,0.0006608075067732769,9183
killed,50,0.0006608075067732769,9183
long,49,0.0006475913566378114,9183
agriculture,48,0.0006343752065023459,9183
spread,48,0.0006343752065023459,9183
