types,counts,probs,total_unique
of the,440,0.005255049027218765,46602
in the,367,0.004383188620430197,46602
have been,276,0.003296348935255407,46602
to be,251,0.002997766604163432,46602
to the,172,0.0020542464379127903,46602
of a,166,0.001982586678450716,46602
it is,153,0.0018273238662828888,46602
of our,144,0.0017198342270897777,46602
years ago,129,0.0015406848284345925,46602
from the,125,0.0014929116554598765,46602
at the,106,0.0012659890838299752,46602
that they,95,0.0011346128581495062,46602
in a,92,0.001098782978418469,46602
and the,91,0.0010868396851747902,46602
that we,90,0.0010748963919311111,46602
early humans,90,0.0010748963919311111,46602
on the,89,0.001062953098687432,46602
million years,87,0.001039066512200074,46602
the same,86,0.0010271232189563951,46602
in our,86,0.0010271232189563951,46602
sense of,84,0.001003236632469037,46602
that the,84,0.001003236632469037,46602
must have,82,0.000979350045981679,46602
evidence for,81,0.0009674067527379999,46602
to have,80,0.000955463459494321,46602
we are,79,0.0009435201662506419,46602
as a,75,0.0008957469932759259,46602
our own,74,0.0008838037000322469,46602
it was,73,0.0008718604067885679,46602
for the,71,0.0008479738203012099,46602
the most,70,0.0008360305270575308,46602
to help,70,0.0008360305270575308,46602
each other,69,0.0008240872338138518,46602
with the,69,0.0008240872338138518,46602
they are,69,0.0008240872338138518,46602
by the,69,0.0008240872338138518,46602
such as,68,0.0008121439405701728,46602
might have,68,0.0008121439405701728,46602
us to,67,0.0008002006473264938,46602
of their,63,0.0007524274743517778,46602
we see,62,0.0007404841811080987,46602
they were,61,0.0007285408878644197,46602
what we,61,0.0007285408878644197,46602
with a,60,0.0007165975946207407,46602
to make,60,0.0007165975946207407,46602
we might,60,0.0007165975946207407,46602
able to,60,0.0007165975946207407,46602
in their,59,0.0007046543013770617,46602
we can,58,0.0006927110081333827,46602
to a,57,0.0006807677148897037,46602
seem to,57,0.0006807677148897037,46602
there is,57,0.0006807677148897037,46602
of human,55,0.0006568811284023456,46602
part of,55,0.0006568811284023456,46602
to see,53,0.0006329945419149876,46602
at least,53,0.0006329945419149876,46602
to care,53,0.0006329945419149876,46602
as we,51,0.0006091079554276296,46602
we have,51,0.0006091079554276296,46602
to us,50,0.0005971646621839506,46602
we feel,50,0.0005971646621839506,46602
and a,50,0.0005971646621839506,46602
to our,49,0.0005852213689402716,46602
our ancestors,49,0.0005852213689402716,46602
may have,49,0.0005852213689402716,46602
need to,47,0.0005613347824529136,46602
a certain,47,0.0005613347824529136,46602
was a,46,0.0005493914892092345,46602
rather than,46,0.0005493914892092345,46602
not only,45,0.0005374481959655556,46602
would have,45,0.0005374481959655556,46602
a sense,44,0.0005255049027218765,46602
we do,44,0.0005255049027218765,46602
as the,44,0.0005255049027218765,46602
upper palaeolithic,44,0.0005255049027218765,46602
how we,43,0.0005135616094781976,46602
in chapter,43,0.0005135616094781976,46602
is not,43,0.0005135616094781976,46602
kind of,42,0.0005016183162345185,46602
if we,41,0.0004896750229908394,46602
as well,41,0.0004896750229908394,46602
care about,41,0.0004896750229908394,46602
help but,40,0.0004777317297471605,46602
when we,40,0.0004777317297471605,46602
to their,40,0.0004777317297471605,46602
their own,40,0.0004777317297471605,46602
would be,40,0.0004777317297471605,46602
university of,40,0.0004777317297471605,46602
care for,40,0.0004777317297471605,46602
had been,39,0.0004657884365034815,46602
people who,39,0.0004657884365034815,46602
is a,39,0.0004657884365034815,46602
how they,39,0.0004657884365034815,46602
far more,39,0.0004657884365034815,46602
the world,38,0.00045384514325980243,46602
difficult to,38,0.00045384514325980243,46602
for a,38,0.00045384514325980243,46602
more than,38,0.00045384514325980243,46602
may be,38,0.00045384514325980243,46602
the university,38,0.00045384514325980243,46602
signs of,37,0.00044190185001612343,46602
them to,36,0.0004299585567724444,46602
tell us,36,0.0004299585567724444,46602
can be,36,0.0004299585567724444,46602
well as,36,0.0004299585567724444,46602
in which,36,0.0004299585567724444,46602
of years,35,0.0004180152635287654,46602
of how,35,0.0004180152635287654,46602
might be,35,0.0004180152635287654,46602
those who,35,0.0004180152635287654,46602
we saw,35,0.0004180152635287654,46602
saw in,35,0.0004180152635287654,46602
and even,34,0.0004060719702850864,46602
one of,34,0.0004060719702850864,46602
likely to,34,0.0004060719702850864,46602
to others,34,0.0004060719702850864,46602
how to,33,0.0003941286770414074,46602
made by,33,0.0003941286770414074,46602
that it,33,0.0003941286770414074,46602
stone tools,33,0.0003941286770414074,46602
of what,33,0.0003941286770414074,46602
have a,33,0.0003941286770414074,46602
there was,32,0.0003821853837977284,46602
the first,32,0.0003821853837977284,46602
we ca,32,0.0003821853837977284,46602
found in,32,0.0003821853837977284,46602
when they,32,0.0003821853837977284,46602
even if,32,0.0003821853837977284,46602
has been,32,0.0003821853837977284,46602
is the,32,0.0003821853837977284,46602
seems to,32,0.0003821853837977284,46602
to those,32,0.0003821853837977284,46602
to them,31,0.00037024209055404935,46602
to do,31,0.00037024209055404935,46602
the time,31,0.00037024209055404935,46602
the upper,31,0.00037024209055404935,46602
for example,31,0.00037024209055404935,46602
such a,31,0.00037024209055404935,46602
to feel,30,0.00035829879731037035,46602
than we,30,0.00035829879731037035,46602
that our,29,0.00034635550406669134,46602
of us,29,0.00034635550406669134,46602
see in,29,0.00034635550406669134,46602
years old,28,0.00033441221082301234,46602
i was,28,0.00033441221082301234,46602
or even,28,0.00033441221082301234,46602
all the,28,0.00033441221082301234,46602
like the,28,0.00033441221082301234,46602
if they,28,0.00033441221082301234,46602
a little,28,0.00033441221082301234,46602
about the,27,0.00032246891757933333,46602
had a,27,0.00032246891757933333,46602
suggest that,27,0.00032246891757933333,46602
the way,27,0.00032246891757933333,46602
of course,27,0.00032246891757933333,46602
most of,27,0.00032246891757933333,46602
there are,27,0.00032246891757933333,46602
the other,27,0.00032246891757933333,46602
and to,27,0.00032246891757933333,46602
who were,27,0.00032246891757933333,46602
modern hunter-gatherers,27,0.00032246891757933333,46602
of an,27,0.00032246891757933333,46602
to survive,27,0.00032246891757933333,46602
on a,26,0.00031052562433565433,46602
to find,26,0.00031052562433565433,46602
back to,26,0.00031052562433565433,46602
thousands of,26,0.00031052562433565433,46602
we know,26,0.00031052562433565433,46602
which we,26,0.00031052562433565433,46602
we would,26,0.00031052562433565433,46602
they had,26,0.00031052562433565433,46602
to take,26,0.00031052562433565433,46602
the evidence,26,0.00031052562433565433,46602
seemed to,26,0.00031052562433565433,46602
seen as,26,0.00031052562433565433,46602
he was,26,0.00031052562433565433,46602
hard to,26,0.00031052562433565433,46602
archaeological record,26,0.00031052562433565433,46602
drive to,26,0.00031052562433565433,46602
was the,25,0.0002985823310919753,46602
a few,25,0.0002985823310919753,46602
the archaeological,25,0.0002985823310919753,46602
what they,25,0.0002985823310919753,46602
this is,25,0.0002985823310919753,46602
is no,25,0.0002985823310919753,46602
is that,25,0.0002985823310919753,46602
around us,25,0.0002985823310919753,46602
own species,24,0.00028663903784829627,46602
in this,24,0.00028663903784829627,46602
about what,24,0.00028663903784829627,46602
or the,24,0.00028663903784829627,46602
those of,24,0.00028663903784829627,46602
that of,24,0.00028663903784829627,46602
and in,24,0.00028663903784829627,46602
to think,24,0.00028663903784829627,46602
those around,24,0.00028663903784829627,46602
cared for,24,0.00028663903784829627,46602
the palaeolithic,23,0.00027469574460461726,46602
years of,23,0.00027469574460461726,46602
of people,23,0.00027469574460461726,46602
by a,23,0.00027469574460461726,46602
we find,23,0.00027469574460461726,46602
we think,23,0.00027469574460461726,46602
and how,23,0.00027469574460461726,46602
of these,23,0.00027469574460461726,46602
and more,23,0.00027469574460461726,46602
tendency to,23,0.00027469574460461726,46602
who are,23,0.00027469574460461726,46602
of others,23,0.00027469574460461726,46602
be a,23,0.00027469574460461726,46602
for others,23,0.00027469574460461726,46602
to protect,23,0.00027469574460461726,46602
sensitivity to,23,0.00027469574460461726,46602
a child,22,0.00026275245136093826,46602
to learn,22,0.00026275245136093826,46602
seen in,22,0.00026275245136093826,46602
no one,22,0.00026275245136093826,46602
to give,22,0.00026275245136093826,46602
may well,22,0.00026275245136093826,46602
at all,21,0.00025080915811725925,46602
that this,21,0.00025080915811725925,46602
to understand,21,0.00025080915811725925,46602
as they,21,0.00025080915811725925,46602
even the,21,0.00025080915811725925,46602
and other,21,0.00025080915811725925,46602
related to,21,0.00025080915811725925,46602
was not,21,0.00025080915811725925,46602
made us,21,0.00025080915811725925,46602
other animals,21,0.00025080915811725925,46602
early human,21,0.00025080915811725925,46602
be the,21,0.00025080915811725925,46602
with their,21,0.00025080915811725925,46602
they might,21,0.00025080915811725925,46602
much of,21,0.00025080915811725925,46602
willingness to,21,0.00025080915811725925,46602
no matter,21,0.00025080915811725925,46602
tend to,21,0.00025080915811725925,46602
of those,21,0.00025080915811725925,46602
this was,20,0.00023886586487358025,46602
who we,20,0.00023886586487358025,46602
other people,20,0.00023886586487358025,46602
as an,20,0.00023886586487358025,46602
human origins,20,0.00023886586487358025,46602
to get,20,0.00023886586487358025,46602
humans were,20,0.00023886586487358025,46602
story of,20,0.00023886586487358025,46602
willing to,20,0.00023886586487358025,46602
that there,20,0.00023886586487358025,46602
of any,20,0.00023886586487358025,46602
it seems,20,0.00023886586487358025,46602
lack of,20,0.00023886586487358025,46602
suggests that,20,0.00023886586487358025,46602
the only,20,0.00023886586487358025,46602
some kind,20,0.00023886586487358025,46602
they have,20,0.00023886586487358025,46602
material things,20,0.00023886586487358025,46602
they can,20,0.00023886586487358025,46602
out to,20,0.00023886586487358025,46602
and our,20,0.00023886586487358025,46602
