types,counts,probs,total_unique
the evolution of,54,0.0006600902123290183,72015
one of the,50,0.0006111946410453874,72015
the rise of,40,0.0004889557128363098,72015
in other words,34,0.0004156123559108634,72015
oxford university press,29,0.0003544928918063246,72015
on the other,26,0.0003178212133436014,72015
as a result,25,0.0003055973205226937,72015
the axial age,23,0.00028114953488087816,72015
the other hand,23,0.00028114953488087816,72015
the scale of,22,0.0002689256420599704,72015
of the most,22,0.0002689256420599704,72015
there is no,22,0.0002689256420599704,72015
the most important,20,0.0002444778564181549,72015
such as the,19,0.0002322539635972472,72015
the end of,19,0.0002322539635972472,72015
a lot of,19,0.0002322539635972472,72015
of cultural evolution,18,0.00022003007077633943,72015
princeton university press,18,0.00022003007077633943,72015
there is a,17,0.0002078061779554317,72015
the united states,17,0.0002078061779554317,72015
the better angels,17,0.0002078061779554317,72015
a result of,16,0.00019558228513452393,72015
a number of,15,0.0001833583923136162,72015
the selfish gene,15,0.0001833583923136162,72015
harvard university press,15,0.0001833583923136162,72015
according to the,14,0.00017113449949270846,72015
in smallscale societies,14,0.00017113449949270846,72015
the roman empire,14,0.00017113449949270846,72015
we need to,14,0.00017113449949270846,72015
way of war,14,0.00017113449949270846,72015
end of the,13,0.0001589106066718007,72015
the history of,13,0.0001589106066718007,72015
the study of,13,0.0001589106066718007,72015
as we saw,13,0.0001589106066718007,72015
the majority of,13,0.0001589106066718007,72015
the price equation,13,0.0001589106066718007,72015
of archaic states,13,0.0001589106066718007,72015
and the evolution,13,0.0001589106066718007,72015
members of the,12,0.00014668671385089296,72015
rise of the,12,0.00014668671385089296,72015
the theory of,12,0.00014668671385089296,72015
the rest of,12,0.00014668671385089296,72015
known as the,12,0.00014668671385089296,72015
part of the,12,0.00014668671385089296,72015
the mae enga,12,0.00014668671385089296,72015
this is a,11,0.0001344628210299852,72015
the 20th century,11,0.0001344628210299852,72015
side of the,11,0.0001344628210299852,72015
university of california,11,0.0001344628210299852,72015
evolution of cooperation,11,0.0001344628210299852,72015
to be a,11,0.0001344628210299852,72015
we have seen,11,0.0001344628210299852,72015
university of chicago,11,0.0001344628210299852,72015
richerson p j,11,0.0001344628210299852,72015
p j and,11,0.0001344628210299852,72015
of destructive creation,10,0.00012223892820907746,72015
of the world,10,0.00012223892820907746,72015
you want to,10,0.00012223892820907746,72015
this is what,10,0.00012223892820907746,72015
of thousands of,10,0.00012223892820907746,72015
during the pleistocene,10,0.00012223892820907746,72015
for example the,10,0.00012223892820907746,72015
of the new,10,0.00012223892820907746,72015
as well as,10,0.00012223892820907746,72015
it is not,10,0.00012223892820907746,72015
the spread of,10,0.00012223892820907746,72015
rest of the,10,0.00012223892820907746,72015
men and women,10,0.00012223892820907746,72015
is one of,10,0.00012223892820907746,72015
the adoption of,10,0.00012223892820907746,72015
adoption of agriculture,10,0.00012223892820907746,72015
of the population,10,0.00012223892820907746,72015
with each other,10,0.00012223892820907746,72015
it would be,10,0.00012223892820907746,72015
we saw in,10,0.00012223892820907746,72015
in human evolution,10,0.00012223892820907746,72015
and the rise,10,0.00012223892820907746,72015
new york oxford,10,0.00012223892820907746,72015
york oxford university,10,0.00012223892820907746,72015
university press p,10,0.00012223892820907746,72015
cambridge university press,10,0.00012223892820907746,72015
and r boyd,10,0.00012223892820907746,72015
it was the,9,0.00011001503538816971,72015
scale of cooperation,9,0.00011001503538816971,72015
the number of,9,0.00011001503538816971,72015
the circle of,9,0.00011001503538816971,72015
is that it,9,0.00011001503538816971,72015
a group of,9,0.00011001503538816971,72015
in the middle,9,0.00011001503538816971,72015
thousands of years,9,0.00011001503538816971,72015
during the past,9,0.00011001503538816971,72015
that it is,9,0.00011001503538816971,72015
but it is,9,0.00011001503538816971,72015
to the point,9,0.00011001503538816971,72015
the transition from,9,0.00011001503538816971,72015
war and peace,9,0.00011001503538816971,72015
is that the,9,0.00011001503538816971,72015
the nature of,9,0.00011001503538816971,72015
and so on,9,0.00011001503538816971,72015
as we have,9,0.00011001503538816971,72015
the previous chapter,9,0.00011001503538816971,72015
evolution of human,9,0.00011001503538816971,72015
western way of,9,0.00011001503538816971,72015
competition between societies,9,0.00011001503538816971,72015
of california press,9,0.00011001503538816971,72015
of the axial,8,9.779114256726196e-05,72015
in the first,8,9.779114256726196e-05,72015
if you want,8,9.779114256726196e-05,72015
some of the,8,9.779114256726196e-05,72015
must have been,8,9.779114256726196e-05,72015
in fact the,8,9.779114256726196e-05,72015
the same way,8,9.779114256726196e-05,72015
of human societies,8,9.779114256726196e-05,72015
this is why,8,9.779114256726196e-05,72015
the university of,8,9.779114256726196e-05,72015
of the whole,8,9.779114256726196e-05,72015
peace and war,8,9.779114256726196e-05,72015
